Descriptor,Borough,hour,justHourSize
1 Missed Collection,BRONX,0,26
1 Missed Collection,BRONX,1,6
1 Missed Collection,BRONX,2,6
1 Missed Collection,BRONX,3,2
1 Missed Collection,BRONX,4,3
1 Missed Collection,BRONX,5,6
1 Missed Collection,BRONX,6,30
1 Missed Collection,BRONX,7,128
1 Missed Collection,BRONX,8,2049
1 Missed Collection,BRONX,9,1428
1 Missed Collection,BRONX,10,1005
1 Missed Collection,BRONX,11,836
1 Missed Collection,BRONX,12,567
1 Missed Collection,BRONX,13,474
1 Missed Collection,BRONX,14,394
1 Missed Collection,BRONX,15,395
1 Missed Collection,BRONX,16,290
1 Missed Collection,BRONX,17,285
1 Missed Collection,BRONX,18,181
1 Missed Collection,BRONX,19,141
1 Missed Collection,BRONX,20,138
1 Missed Collection,BRONX,21,88
1 Missed Collection,BRONX,22,53
1 Missed Collection,BRONX,23,36
1 Missed Collection,BROOKLYN,0,101
1 Missed Collection,BROOKLYN,1,54
1 Missed Collection,BROOKLYN,2,32
1 Missed Collection,BROOKLYN,3,19
1 Missed Collection,BROOKLYN,4,25
1 Missed Collection,BROOKLYN,5,28
1 Missed Collection,BROOKLYN,6,98
1 Missed Collection,BROOKLYN,7,448
1 Missed Collection,BROOKLYN,8,7482
1 Missed Collection,BROOKLYN,9,5832
1 Missed Collection,BROOKLYN,10,4355
1 Missed Collection,BROOKLYN,11,3275
1 Missed Collection,BROOKLYN,12,2534
1 Missed Collection,BROOKLYN,13,2024
1 Missed Collection,BROOKLYN,14,1776
1 Missed Collection,BROOKLYN,15,1586
1 Missed Collection,BROOKLYN,16,1442
1 Missed Collection,BROOKLYN,17,1093
1 Missed Collection,BROOKLYN,18,963
1 Missed Collection,BROOKLYN,19,761
1 Missed Collection,BROOKLYN,20,601
1 Missed Collection,BROOKLYN,21,488
1 Missed Collection,BROOKLYN,22,363
1 Missed Collection,BROOKLYN,23,270
1 Missed Collection,MANHATTAN,0,18
1 Missed Collection,MANHATTAN,1,4
1 Missed Collection,MANHATTAN,2,2
1 Missed Collection,MANHATTAN,3,6
1 Missed Collection,MANHATTAN,4,1
1 Missed Collection,MANHATTAN,5,5
1 Missed Collection,MANHATTAN,6,24
1 Missed Collection,MANHATTAN,7,102
1 Missed Collection,MANHATTAN,8,2125
1 Missed Collection,MANHATTAN,9,1760
1 Missed Collection,MANHATTAN,10,1220
1 Missed Collection,MANHATTAN,11,929
1 Missed Collection,MANHATTAN,12,657
1 Missed Collection,MANHATTAN,13,541
1 Missed Collection,MANHATTAN,14,469
1 Missed Collection,MANHATTAN,15,395
1 Missed Collection,MANHATTAN,16,298
1 Missed Collection,MANHATTAN,17,214
1 Missed Collection,MANHATTAN,18,189
1 Missed Collection,MANHATTAN,19,116
1 Missed Collection,MANHATTAN,20,93
1 Missed Collection,MANHATTAN,21,90
1 Missed Collection,MANHATTAN,22,71
1 Missed Collection,MANHATTAN,23,28
1 Missed Collection,QUEENS,0,82
1 Missed Collection,QUEENS,1,47
1 Missed Collection,QUEENS,2,26
1 Missed Collection,QUEENS,3,26
1 Missed Collection,QUEENS,4,13
1 Missed Collection,QUEENS,5,39
1 Missed Collection,QUEENS,6,122
1 Missed Collection,QUEENS,7,514
1 Missed Collection,QUEENS,8,8001
1 Missed Collection,QUEENS,9,5801
1 Missed Collection,QUEENS,10,4424
1 Missed Collection,QUEENS,11,3399
1 Missed Collection,QUEENS,12,2651
1 Missed Collection,QUEENS,13,2176
1 Missed Collection,QUEENS,14,1926
1 Missed Collection,QUEENS,15,1708
1 Missed Collection,QUEENS,16,1516
1 Missed Collection,QUEENS,17,1262
1 Missed Collection,QUEENS,18,988
1 Missed Collection,QUEENS,19,792
1 Missed Collection,QUEENS,20,644
1 Missed Collection,QUEENS,21,485
1 Missed Collection,QUEENS,22,297
1 Missed Collection,QUEENS,23,200
1 Missed Collection,STATEN ISLAND,0,45
1 Missed Collection,STATEN ISLAND,1,26
1 Missed Collection,STATEN ISLAND,2,17
1 Missed Collection,STATEN ISLAND,3,13
1 Missed Collection,STATEN ISLAND,4,7
1 Missed Collection,STATEN ISLAND,5,25
1 Missed Collection,STATEN ISLAND,6,80
1 Missed Collection,STATEN ISLAND,7,311
1 Missed Collection,STATEN ISLAND,8,4927
1 Missed Collection,STATEN ISLAND,9,3636
1 Missed Collection,STATEN ISLAND,10,2572
1 Missed Collection,STATEN ISLAND,11,1954
1 Missed Collection,STATEN ISLAND,12,1561
1 Missed Collection,STATEN ISLAND,13,1221
1 Missed Collection,STATEN ISLAND,14,1125
1 Missed Collection,STATEN ISLAND,15,995
1 Missed Collection,STATEN ISLAND,16,908
1 Missed Collection,STATEN ISLAND,17,764
1 Missed Collection,STATEN ISLAND,18,608
1 Missed Collection,STATEN ISLAND,19,478
1 Missed Collection,STATEN ISLAND,20,392
1 Missed Collection,STATEN ISLAND,21,238
1 Missed Collection,STATEN ISLAND,22,155
1 Missed Collection,STATEN ISLAND,23,79
1 Missed Collection,Unspecified,8,2
1 Missed Collection,Unspecified,9,3
1 Missed Collection,Unspecified,11,1
1 Missed Collection,Unspecified,12,1
1 Missed Collection,Unspecified,14,1
1 Missed Collection,Unspecified,17,1
1 Missed Collection,Unspecified,23,1
1 or 2,BRONX,0,835
1 or 2,BRONX,1,14
1 or 2,BRONX,2,19
1 or 2,BRONX,3,10
1 or 2,BRONX,4,7
1 or 2,BRONX,5,12
1 or 2,BRONX,6,21
1 or 2,BRONX,7,38
1 or 2,BRONX,8,60
1 or 2,BRONX,9,119
1 or 2,BRONX,10,157
1 or 2,BRONX,11,142
1 or 2,BRONX,12,137
1 or 2,BRONX,13,161
1 or 2,BRONX,14,169
1 or 2,BRONX,15,178
1 or 2,BRONX,16,151
1 or 2,BRONX,17,122
1 or 2,BRONX,18,116
1 or 2,BRONX,19,113
1 or 2,BRONX,20,70
1 or 2,BRONX,21,61
1 or 2,BRONX,22,52
1 or 2,BRONX,23,38
1 or 2,BROOKLYN,0,2008
1 or 2,BROOKLYN,1,41
1 or 2,BROOKLYN,2,31
1 or 2,BROOKLYN,3,24
1 or 2,BROOKLYN,4,21
1 or 2,BROOKLYN,5,24
1 or 2,BROOKLYN,6,30
1 or 2,BROOKLYN,7,76
1 or 2,BROOKLYN,8,132
1 or 2,BROOKLYN,9,257
1 or 2,BROOKLYN,10,322
1 or 2,BROOKLYN,11,396
1 or 2,BROOKLYN,12,341
1 or 2,BROOKLYN,13,372
1 or 2,BROOKLYN,14,384
1 or 2,BROOKLYN,15,305
1 or 2,BROOKLYN,16,315
1 or 2,BROOKLYN,17,244
1 or 2,BROOKLYN,18,211
1 or 2,BROOKLYN,19,203
1 or 2,BROOKLYN,20,173
1 or 2,BROOKLYN,21,150
1 or 2,BROOKLYN,22,136
1 or 2,BROOKLYN,23,78
1 or 2,MANHATTAN,0,3568
1 or 2,MANHATTAN,1,61
1 or 2,MANHATTAN,2,44
1 or 2,MANHATTAN,3,39
1 or 2,MANHATTAN,4,30
1 or 2,MANHATTAN,5,43
1 or 2,MANHATTAN,6,53
1 or 2,MANHATTAN,7,120
1 or 2,MANHATTAN,8,257
1 or 2,MANHATTAN,9,456
1 or 2,MANHATTAN,10,579
1 or 2,MANHATTAN,11,605
1 or 2,MANHATTAN,12,648
1 or 2,MANHATTAN,13,603
1 or 2,MANHATTAN,14,573
1 or 2,MANHATTAN,15,534
1 or 2,MANHATTAN,16,514
1 or 2,MANHATTAN,17,412
1 or 2,MANHATTAN,18,332
1 or 2,MANHATTAN,19,297
1 or 2,MANHATTAN,20,282
1 or 2,MANHATTAN,21,249
1 or 2,MANHATTAN,22,223
1 or 2,MANHATTAN,23,161
