Descriptor,Borough,month,justMonthSize
1 Missed Collection,BRONX,1,765
1 Missed Collection,BRONX,2,737
1 Missed Collection,BRONX,3,776
1 Missed Collection,BRONX,4,666
1 Missed Collection,BRONX,5,613
1 Missed Collection,BRONX,6,726
1 Missed Collection,BRONX,7,722
1 Missed Collection,BRONX,8,721
1 Missed Collection,BRONX,9,660
1 Missed Collection,BRONX,10,658
1 Missed Collection,BRONX,11,822
1 Missed Collection,BRONX,12,701
1 Missed Collection,BROOKLYN,1,2865
1 Missed Collection,BROOKLYN,2,2566
1 Missed Collection,BROOKLYN,3,2778
1 Missed Collection,BROOKLYN,4,2723
1 Missed Collection,BROOKLYN,5,2902
1 Missed Collection,BROOKLYN,6,3453
1 Missed Collection,BROOKLYN,7,3448
1 Missed Collection,BROOKLYN,8,3195
1 Missed Collection,BROOKLYN,9,3101
1 Missed Collection,BROOKLYN,10,2957
1 Missed Collection,BROOKLYN,11,3094
1 Missed Collection,BROOKLYN,12,2568
1 Missed Collection,MANHATTAN,1,800
1 Missed Collection,MANHATTAN,2,701
1 Missed Collection,MANHATTAN,3,691
1 Missed Collection,MANHATTAN,4,760
1 Missed Collection,MANHATTAN,5,751
1 Missed Collection,MANHATTAN,6,841
1 Missed Collection,MANHATTAN,7,884
1 Missed Collection,MANHATTAN,8,799
1 Missed Collection,MANHATTAN,9,779
1 Missed Collection,MANHATTAN,10,837
1 Missed Collection,MANHATTAN,11,843
1 Missed Collection,MANHATTAN,12,671
1 Missed Collection,QUEENS,1,2829
1 Missed Collection,QUEENS,2,3091
1 Missed Collection,QUEENS,3,2967
1 Missed Collection,QUEENS,4,2848
1 Missed Collection,QUEENS,5,2922
1 Missed Collection,QUEENS,6,3401
1 Missed Collection,QUEENS,7,3678
1 Missed Collection,QUEENS,8,3141
1 Missed Collection,QUEENS,9,2982
1 Missed Collection,QUEENS,10,2858
1 Missed Collection,QUEENS,11,3539
1 Missed Collection,QUEENS,12,2883
1 Missed Collection,STATEN ISLAND,1,2266
1 Missed Collection,STATEN ISLAND,2,1649
1 Missed Collection,STATEN ISLAND,3,1980
1 Missed Collection,STATEN ISLAND,4,1735
1 Missed Collection,STATEN ISLAND,5,1625
1 Missed Collection,STATEN ISLAND,6,1904
1 Missed Collection,STATEN ISLAND,7,1799
1 Missed Collection,STATEN ISLAND,8,1610
1 Missed Collection,STATEN ISLAND,9,1427
1 Missed Collection,STATEN ISLAND,10,1476
1 Missed Collection,STATEN ISLAND,11,2842
1 Missed Collection,STATEN ISLAND,12,1824
1 Missed Collection,Unspecified,1,2
1 Missed Collection,Unspecified,2,1
1 Missed Collection,Unspecified,3,1
1 Missed Collection,Unspecified,4,1
1 Missed Collection,Unspecified,5,1
1 Missed Collection,Unspecified,7,1
1 Missed Collection,Unspecified,8,1
1 Missed Collection,Unspecified,9,2
1 or 2,BRONX,1,264
1 or 2,BRONX,2,228
1 or 2,BRONX,3,235
1 or 2,BRONX,4,253
1 or 2,BRONX,5,239
1 or 2,BRONX,6,266
1 or 2,BRONX,7,250
1 or 2,BRONX,8,276
1 or 2,BRONX,9,232
1 or 2,BRONX,10,187
1 or 2,BRONX,11,166
1 or 2,BRONX,12,206
1 or 2,BROOKLYN,1,526
1 or 2,BROOKLYN,2,550
1 or 2,BROOKLYN,3,535
1 or 2,BROOKLYN,4,528
1 or 2,BROOKLYN,5,549
1 or 2,BROOKLYN,6,519
1 or 2,BROOKLYN,7,548
1 or 2,BROOKLYN,8,546
1 or 2,BROOKLYN,9,492
1 or 2,BROOKLYN,10,504
1 or 2,BROOKLYN,11,475
1 or 2,BROOKLYN,12,502
1 or 2,MANHATTAN,1,1085
1 or 2,MANHATTAN,2,1029
1 or 2,MANHATTAN,3,1024
1 or 2,MANHATTAN,4,911
1 or 2,MANHATTAN,5,849
1 or 2,MANHATTAN,6,811
1 or 2,MANHATTAN,7,800
1 or 2,MANHATTAN,8,881
1 or 2,MANHATTAN,9,752
1 or 2,MANHATTAN,10,751
1 or 2,MANHATTAN,11,785
1 or 2,MANHATTAN,12,1005
1 or 2,QUEENS,1,460
1 or 2,QUEENS,2,479
1 or 2,QUEENS,3,488
1 or 2,QUEENS,4,454
1 or 2,QUEENS,5,456
1 or 2,QUEENS,6,467
1 or 2,QUEENS,7,509
1 or 2,QUEENS,8,483
1 or 2,QUEENS,9,388
1 or 2,QUEENS,10,366
1 or 2,QUEENS,11,329
1 or 2,QUEENS,12,434
1 or 2,STATEN ISLAND,1,81
1 or 2,STATEN ISLAND,2,72
1 or 2,STATEN ISLAND,3,85
1 or 2,STATEN ISLAND,4,76
1 or 2,STATEN ISLAND,5,70
1 or 2,STATEN ISLAND,6,87
1 or 2,STATEN ISLAND,7,83
1 or 2,STATEN ISLAND,8,88
1 or 2,STATEN ISLAND,9,86
1 or 2,STATEN ISLAND,10,103
1 or 2,STATEN ISLAND,11,68
1 or 2,STATEN ISLAND,12,70
1 or 2,Unspecified,1,3
1 or 2,Unspecified,2,3
1 or 2,Unspecified,3,4
1 or 2,Unspecified,4,3
1 or 2,Unspecified,5,2
1 or 2,Unspecified,6,2
1 or 2,Unspecified,7,3
1 or 2,Unspecified,8,1
1 or 2,Unspecified,9,3
1 or 2,Unspecified,10,4
1 or 2,Unspecified,12,3
10 Litter Basket / Request,BRONX,1,136
10 Litter Basket / Request,BRONX,2,164
10 Litter Basket / Request,BRONX,3,204
10 Litter Basket / Request,BRONX,4,272
10 Litter Basket / Request,BRONX,5,289
10 Litter Basket / Request,BRONX,6,298
10 Litter Basket / Request,BRONX,7,297
10 Litter Basket / Request,BRONX,8,313
10 Litter Basket / Request,BRONX,9,238
10 Litter Basket / Request,BRONX,10,221
10 Litter Basket / Request,BRONX,11,145
10 Litter Basket / Request,BRONX,12,131
10 Litter Basket / Request,BROOKLYN,1,594
10 Litter Basket / Request,BROOKLYN,2,627
10 Litter Basket / Request,BROOKLYN,3,750
10 Litter Basket / Request,BROOKLYN,4,926
10 Litter Basket / Request,BROOKLYN,5,964
10 Litter Basket / Request,BROOKLYN,6,1023
10 Litter Basket / Request,BROOKLYN,7,1017
10 Litter Basket / Request,BROOKLYN,8,999
10 Litter Basket / Request,BROOKLYN,9,1041
10 Litter Basket / Request,BROOKLYN,10,856
10 Litter Basket / Request,BROOKLYN,11,664
10 Litter Basket / Request,BROOKLYN,12,552
10 Litter Basket / Request,MANHATTAN,1,370
10 Litter Basket / Request,MANHATTAN,2,317
10 Litter Basket / Request,MANHATTAN,3,450
10 Litter Basket / Request,MANHATTAN,4,491
10 Litter Basket / Request,MANHATTAN,5,631
10 Litter Basket / Request,MANHATTAN,6,669
10 Litter Basket / Request,MANHATTAN,7,689
10 Litter Basket / Request,MANHATTAN,8,587
10 Litter Basket / Request,MANHATTAN,9,626
10 Litter Basket / Request,MANHATTAN,10,576
10 Litter Basket / Request,MANHATTAN,11,405
10 Litter Basket / Request,MANHATTAN,12,292
10 Litter Basket / Request,QUEENS,1,351
10 Litter Basket / Request,QUEENS,2,350
10 Litter Basket / Request,QUEENS,3,443
10 Litter Basket / Request,QUEENS,4,466
10 Litter Basket / Request,QUEENS,5,552
10 Litter Basket / Request,QUEENS,6,650
10 Litter Basket / Request,QUEENS,7,552
10 Litter Basket / Request,QUEENS,8,556
10 Litter Basket / Request,QUEENS,9,642
10 Litter Basket / Request,QUEENS,10,553
10 Litter Basket / Request,QUEENS,11,308
10 Litter Basket / Request,QUEENS,12,279
10 Litter Basket / Request,STATEN ISLAND,1,95
10 Litter Basket / Request,STATEN ISLAND,2,109
10 Litter Basket / Request,STATEN ISLAND,3,175
10 Litter Basket / Request,STATEN ISLAND,4,184
10 Litter Basket / Request,STATEN ISLAND,5,206
10 Litter Basket / Request,STATEN ISLAND,6,202
10 Litter Basket / Request,STATEN ISLAND,7,171
10 Litter Basket / Request,STATEN ISLAND,8,203
10 Litter Basket / Request,STATEN ISLAND,9,211
10 Litter Basket / Request,STATEN ISLAND,10,154
10 Litter Basket / Request,STATEN ISLAND,11,89
10 Litter Basket / Request,STATEN ISLAND,12,86
10 Litter Basket / Request,Unspecified,1,4
10 Litter Basket / Request,Unspecified,2,3
10 Litter Basket / Request,Unspecified,3,5
10 Litter Basket / Request,Unspecified,4,7
10 Litter Basket / Request,Unspecified,5,11
10 Litter Basket / Request,Unspecified,6,5
10 Litter Basket / Request,Unspecified,7,11
10 Litter Basket / Request,Unspecified,8,1
10 Litter Basket / Request,Unspecified,9,10
10 Litter Basket / Request,Unspecified,10,2
10 Litter Basket / Request,Unspecified,11,4
10 Litter Basket / Request,Unspecified,12,1
10A Adopt-A-Basket,BRONX,1,3
10A Adopt-A-Basket,BRONX,2,7
10A Adopt-A-Basket,BRONX,3,9
10A Adopt-A-Basket,BRONX,4,11
10A Adopt-A-Basket,BRONX,5,9
10A Adopt-A-Basket,BRONX,6,5
10A Adopt-A-Basket,BRONX,7,7
10A Adopt-A-Basket,BRONX,8,8
10A Adopt-A-Basket,BRONX,9,4
10A Adopt-A-Basket,BRONX,10,7
10A Adopt-A-Basket,BRONX,11,5
10A Adopt-A-Basket,BRONX,12,3
10A Adopt-A-Basket,BROOKLYN,1,10
10A Adopt-A-Basket,BROOKLYN,2,7
10A Adopt-A-Basket,BROOKLYN,3,12
10A Adopt-A-Basket,BROOKLYN,4,14
10A Adopt-A-Basket,BROOKLYN,5,11
10A Adopt-A-Basket,BROOKLYN,6,15
10A Adopt-A-Basket,BROOKLYN,7,9
10A Adopt-A-Basket,BROOKLYN,8,14
10A Adopt-A-Basket,BROOKLYN,9,20
10A Adopt-A-Basket,BROOKLYN,10,13
10A Adopt-A-Basket,BROOKLYN,11,7
10A Adopt-A-Basket,BROOKLYN,12,9
10A Adopt-A-Basket,MANHATTAN,1,11
10A Adopt-A-Basket,MANHATTAN,2,22
10A Adopt-A-Basket,MANHATTAN,3,29
10A Adopt-A-Basket,MANHATTAN,4,19
10A Adopt-A-Basket,MANHATTAN,5,19
10A Adopt-A-Basket,MANHATTAN,6,20
10A Adopt-A-Basket,MANHATTAN,7,19
10A Adopt-A-Basket,MANHATTAN,8,8
10A Adopt-A-Basket,MANHATTAN,9,11
