Complaint Type,year,month,monthSize
$(sleep 11),2019,6,1
${3804*3137},2019,6,1
%2e%2e%2f%2e%2e%2f%2e%2e%2f...,2019,6,1
%2e%2e%5c%2e%2e%5c%2e%2e%5c...,2019,6,1
%2fetc%2fpasswd,2019,6,1
%E5%98%8A%E5%98%8DX-Injecti...,2019,6,1
%c0%ae/%c0%ae/%c0%ae/%c0%ae...,2019,6,1
%c0%ae/%c0%ae/%c0%ae/WEB-IN...,2019,6,1
%c0%ae/%c0%ae/WEB-INF/web.xml,2019,6,1
%c0%ae/WEB-INF/web.xml,2019,6,1
%{(#dm=@ognl.OgnlContext@DE...,2019,6,1
%{4761*8506},2019,6,1
&lt;odb xmlns:xi=&quot;http...,2019,6,1
&lt;vlv xmlns=&quot;http://...,2019,6,1
&quot;--&gt;'--&gt;`--&gt;&...,2019,6,1
() { :;}; /bin/sleep 0,2019,6,1
() { :;}; /bin/sleep 11,2019,6,1
() { _; } &gt;_,2019,6,1
(select extractvalue(xmltyp...,2019,6,1
(select load_file('\\\\615h...,2019,6,1
*)(!(objectClass=*),2019,6,1
*)(objectClass=*,2019,6,1
.../....///.../....///.../....,2019,6,1
.../...//.../...//.../...//...,2019,6,1
..././..././..././..././......,2019,6,1
.../.\.../.\.../.\.../.\......,2019,6,1
.../Misc. Comments,2019,6,1
...\./...\./...\./...\./......,2019,6,1
...\.\...\.\...\.\...\.\......,2019,6,1
../../../../../../../../../...,2019,6,4
../../../../WEB-INF/web.xml,2019,6,1
../../../WEB-INF/web.xml,2019,6,1
../../../WEB-INF/web.xml;x=,2019,6,1
../../WEB-INF/web.xml,2019,6,1
../../WEB-INF/web.xml;x=,2019,6,1
../WEB-INF/web.xml,2019,6,1
../WEB-INF/web.xml;x=,2019,6,1
..\..\..\..\..\..\..\..\..\...,2019,6,4
./validate_form.php,2019,6,1
/./validate_form.php,2019,6,1
/etc/passwd,2019,6,1
1430*4963,2019,6,1
266dyrgvhg1egsyp2oq57axbm2s...,2019,6,1
@(9313*3464),2019,6,1
AGENCY,2014,9,2
AGENCY,2015,7,1
AGENCY,2016,2,1
AGENCY,2016,9,1
AGENCY,2017,5,1
AGENCY,2017,7,2
AGENCY,2018,10,1
APPLIANCE,2010,1,1180
APPLIANCE,2010,2,998
APPLIANCE,2010,3,1217
APPLIANCE,2010,4,1071
APPLIANCE,2010,5,1012
APPLIANCE,2010,6,1374
APPLIANCE,2010,7,1517
APPLIANCE,2010,8,1493
APPLIANCE,2010,9,1232
APPLIANCE,2010,10,1299
APPLIANCE,2010,11,1390
APPLIANCE,2010,12,1234
APPLIANCE,2011,1,1138
APPLIANCE,2011,2,1003
APPLIANCE,2011,3,1054
APPLIANCE,2011,4,981
APPLIANCE,2011,5,1029
APPLIANCE,2011,6,1194
APPLIANCE,2011,7,1474
APPLIANCE,2011,8,1383
APPLIANCE,2011,9,1226
APPLIANCE,2011,10,1404
APPLIANCE,2011,11,970
APPLIANCE,2011,12,755
APPLIANCE,2012,1,700
APPLIANCE,2012,2,492
APPLIANCE,2012,3,485
APPLIANCE,2012,4,453
APPLIANCE,2012,5,431
APPLIANCE,2012,6,443
APPLIANCE,2012,7,536
APPLIANCE,2012,8,548
APPLIANCE,2012,9,468
APPLIANCE,2012,10,465
APPLIANCE,2012,11,497
APPLIANCE,2012,12,463
APPLIANCE,2013,1,439
APPLIANCE,2013,2,325
APPLIANCE,2013,3,380
APPLIANCE,2013,4,345
APPLIANCE,2013,5,360
APPLIANCE,2013,6,362
APPLIANCE,2013,7,471
APPLIANCE,2013,8,400
APPLIANCE,2013,9,388
APPLIANCE,2013,10,509
APPLIANCE,2013,11,803
APPLIANCE,2013,12,743
APPLIANCE,2014,1,847
APPLIANCE,2014,2,675
APPLIANCE,2014,3,766
APPLIANCE,2014,4,752
APPLIANCE,2014,5,756
APPLIANCE,2014,6,794
APPLIANCE,2014,7,988
APPLIANCE,2014,8,936
APPLIANCE,2014,9,932
APPLIANCE,2014,10,932
APPLIANCE,2014,11,1000
APPLIANCE,2014,12,958
APPLIANCE,2015,1,764
APPLIANCE,2015,2,859
APPLIANCE,2015,3,876
APPLIANCE,2015,4,863
APPLIANCE,2015,5,843
APPLIANCE,2015,6,940
APPLIANCE,2015,7,1062
APPLIANCE,2015,8,1081
APPLIANCE,2015,9,932
APPLIANCE,2015,10,1074
APPLIANCE,2015,11,976
APPLIANCE,2015,12,968
APPLIANCE,2016,1,1031
APPLIANCE,2016,2,974
APPLIANCE,2016,3,1028
APPLIANCE,2016,4,854
APPLIANCE,2016,5,848
APPLIANCE,2016,6,1065
APPLIANCE,2016,7,1158
APPLIANCE,2016,8,1321
APPLIANCE,2016,9,1039
APPLIANCE,2016,10,1202
APPLIANCE,2016,11,1174
APPLIANCE,2016,12,1208
APPLIANCE,2017,1,1076
APPLIANCE,2017,2,997
APPLIANCE,2017,3,978
APPLIANCE,2017,4,856
APPLIANCE,2017,5,960
APPLIANCE,2017,6,1064
APPLIANCE,2017,7,1205
APPLIANCE,2017,8,1197
APPLIANCE,2017,9,926
APPLIANCE,2017,10,1146
APPLIANCE,2017,11,1173
APPLIANCE,2017,12,1031
APPLIANCE,2018,1,1307
APPLIANCE,2018,2,962
APPLIANCE,2018,3,1046
APPLIANCE,2018,4,926
APPLIANCE,2018,5,1003
APPLIANCE,2018,6,1039
APPLIANCE,2018,7,1349
APPLIANCE,2018,8,1556
APPLIANCE,2018,9,1389
APPLIANCE,2018,10,1575
APPLIANCE,2018,11,1351
APPLIANCE,2018,12,1222
APPLIANCE,2019,1,1378
APPLIANCE,2019,2,1064
APPLIANCE,2019,3,1042
APPLIANCE,2019,4,908
APPLIANCE,2019,5,1062
APPLIANCE,2019,6,926
APPLIANCE,2019,7,661
APPLIANCE,2019,8,661
APPLIANCE,2019,9,624
APPLIANCE,2019,10,611
APPLIANCE,2019,11,643
APPLIANCE,2019,12,608
APPLIANCE,2020,1,696
APPLIANCE,2020,2,557
APPLIANCE,2020,3,824
APPLIANCE,2020,4,241
ATF,2011,1,1
ATF,2011,10,1
ATF,2011,12,1
ATF,2012,1,5
ATF,2012,2,2
ATF,2012,3,7
ATF,2012,4,3
ATF,2012,5,7
ATF,2012,6,4
ATF,2012,7,11
ATF,2012,8,7
ATF,2012,9,3
ATF,2012,10,6
ATF,2012,11,3
ATF,2012,12,5
ATF,2013,1,7
ATF,2013,2,3
ATF,2013,3,4
ATF,2013,4,3
ATF,2013,5,4
ATF,2013,6,5
ATF,2013,7,7
ATF,2013,8,10
ATF,2013,9,5
ATF,2013,10,10
ATF,2013,11,10
ATF,2013,12,6
ATF,2014,1,4
ATF,2014,3,2
ATF,2014,4,2
ATF,2014,5,5
ATF,2014,6,3
ATF,2014,7,5
ATF,2014,8,1
ATF,2014,9,5
ATF,2014,10,7
ATF,2014,11,4
ATF,2014,12,6
ATF,2015,1,4
ATF,2015,2,7
ATF,2015,3,7
ATF,2015,4,20
ATF,2015,5,11
ATF,2015,6,7
ATF,2015,7,7
ATF,2015,8,5
ATF,2015,9,7
ATF,2015,10,7
ATF,2015,11,4
ATF,2015,12,6
ATF,2016,1,6
ATF,2016,2,4
ATF,2016,3,10
ATF,2016,4,4
ATF,2016,5,7
ATF,2016,6,11
ATF,2016,7,11
ATF,2016,8,5
ATF,2016,9,8
ATF,2016,10,9
ATF,2016,11,8
ATF,2016,12,6
ATF,2017,1,7
ATF,2017,2,6
ATF,2017,3,9
ATF,2017,4,5
ATF,2017,5,3
ATF,2017,6,1
ATF,2017,7,12
ATF,2017,8,13
Abandoned Vehicle,2018,6,15
Abandoned Vehicle,2018,7,11
Abandoned Vehicle,2018,8,4
Abandoned Vehicle,2018,9,7
Abandoned Vehicle,2018,11,5
Abandoned Vehicle,2019,1,1
Abandoned Vehicle,2019,2,2
Abandoned Vehicle,2019,3,1
Abandoned Vehicle,2019,5,2
Abandoned Vehicle,2019,6,2541
Abandoned Vehicle,2019,7,3752
Abandoned Vehicle,2019,8,4187
Abandoned Vehicle,2019,9,3927
Abandoned Vehicle,2019,10,3511
Abandoned Vehicle,2019,11,3226
Abandoned Vehicle,2019,12,3034
Abandoned Vehicle,2020,1,3760
Abandoned Vehicle,2020,2,3371
Abandoned Vehicle,2020,3,2500
Abandoned Vehicle,2020,4,413
Adopt-A-Basket,2010,2,3
Adopt-A-Basket,2010,3,5
Adopt-A-Basket,2010,4,5
Adopt-A-Basket,2010,5,3
Adopt-A-Basket,2010,6,2
Adopt-A-Basket,2010,7,2
Adopt-A-Basket,2010,8,8
Adopt-A-Basket,2010,9,2
Adopt-A-Basket,2010,10,3
Adopt-A-Basket,2010,11,1
Adopt-A-Basket,2010,12,2
Adopt-A-Basket,2011,1,3
Adopt-A-Basket,2011,2,3
Adopt-A-Basket,2011,3,3
Adopt-A-Basket,2011,4,4
Adopt-A-Basket,2011,6,1
Adopt-A-Basket,2011,7,2
Adopt-A-Basket,2011,9,3
Adopt-A-Basket,2011,10,4
Adopt-A-Basket,2011,11,1
Adopt-A-Basket,2011,12,1
Adopt-A-Basket,2012,1,4
Adopt-A-Basket,2012,3,3
Adopt-A-Basket,2012,4,5
Adopt-A-Basket,2012,5,5
Adopt-A-Basket,2012,6,6
Adopt-A-Basket,2012,7,6
Adopt-A-Basket,2012,8,3
Adopt-A-Basket,2012,9,1
Adopt-A-Basket,2012,10,1
Adopt-A-Basket,2012,11,4
Adopt-A-Basket,2012,12,3
Adopt-A-Basket,2013,1,3
Adopt-A-Basket,2013,2,2
Adopt-A-Basket,2013,3,2
Adopt-A-Basket,2013,4,5
Adopt-A-Basket,2013,5,4
Adopt-A-Basket,2013,6,9
Adopt-A-Basket,2013,7,9
Adopt-A-Basket,2013,8,8
Adopt-A-Basket,2013,9,5
Adopt-A-Basket,2013,10,3
Adopt-A-Basket,2013,11,3
Adopt-A-Basket,2014,1,2
Adopt-A-Basket,2014,2,4
Adopt-A-Basket,2014,3,3
Adopt-A-Basket,2014,4,1
Adopt-A-Basket,2014,5,2
Adopt-A-Basket,2014,6,3
Adopt-A-Basket,2014,7,4
Adopt-A-Basket,2014,9,4
Adopt-A-Basket,2014,10,2
Adopt-A-Basket,2014,11,3
Adopt-A-Basket,2014,12,5
Adopt-A-Basket,2015,1,2
Adopt-A-Basket,2015,2,1
Adopt-A-Basket,2015,3,3
Adopt-A-Basket,2015,4,6
Adopt-A-Basket,2015,5,4
Adopt-A-Basket,2015,6,8
Adopt-A-Basket,2015,7,4
Adopt-A-Basket,2015,8,7
Adopt-A-Basket,2015,9,5
Adopt-A-Basket,2015,10,10
Adopt-A-Basket,2015,11,4
Adopt-A-Basket,2015,12,7
Adopt-A-Basket,2016,1,10
Adopt-A-Basket,2016,2,2
Adopt-A-Basket,2016,3,24
Adopt-A-Basket,2016,4,13
Adopt-A-Basket,2016,5,16
Adopt-A-Basket,2016,6,11
Adopt-A-Basket,2016,7,15
Adopt-A-Basket,2016,8,12
Adopt-A-Basket,2016,9,15
Adopt-A-Basket,2016,10,15
Adopt-A-Basket,2016,11,6
Adopt-A-Basket,2016,12,6
Adopt-A-Basket,2017,1,6
Adopt-A-Basket,2017,2,20
Adopt-A-Basket,2017,3,12
Adopt-A-Basket,2017,4,20
Adopt-A-Basket,2017,5,12
Adopt-A-Basket,2017,6,13
Adopt-A-Basket,2017,7,10
Adopt-A-Basket,2017,8,14
Adopt-A-Basket,2017,9,12
Adopt-A-Basket,2017,10,5
Adopt-A-Basket,2017,11,8
Adopt-A-Basket,2017,12,5
Adopt-A-Basket,2018,1,3
Adopt-A-Basket,2018,2,12
Adopt-A-Basket,2018,3,9
Adopt-A-Basket,2018,4,8
Adopt-A-Basket,2018,5,6
Adopt-A-Basket,2018,6,2
Adopt-A-Basket,2018,7,1
Adopt-A-Basket,2019,6,1
Adopt-A-Basket,2019,10,1
Advocate - Levy,2017,12,1
Advocate - Levy,2018,5,1
Advocate - Lien,2017,10,1
Advocate - Lien,2018,4,1
Advocate - Lien,2018,5,1
Advocate - Lien,2018,6,1
Advocate - Lien,2018,8,4
Advocate - Lien,2018,11,1
Advocate - Lien,2019,1,2
Advocate - Lien,2019,4,1
Advocate - Lien,2019,6,1
Advocate - Other,2015,11,3
Advocate - Other,2015,12,2
Advocate - Other,2016,1,1
Advocate - Other,2016,2,2
Advocate - Other,2016,3,2
Advocate - Other,2016,6,2
Advocate - Other,2016,7,4
Advocate - Other,2016,8,1
Advocate - Other,2016,9,3
Advocate - Other,2016,10,7
Advocate - Other,2016,11,3
Advocate - Other,2016,12,5
Advocate - Other,2017,1,2
Advocate - Other,2017,2,3
Advocate - Other,2017,3,1
Advocate - Other,2017,4,2
Advocate - Other,2017,5,2
Advocate - Other,2017,6,2
Advocate - Other,2017,7,2
Advocate - Other,2017,8,2
Advocate - Other,2017,9,9
Advocate - Other,2017,10,11
Advocate - Other,2017,11,12
Advocate - Other,2017,12,8
Advocate - Other,2018,1,9
Advocate - Other,2018,2,7
Advocate - Other,2018,3,12
Advocate - Other,2018,4,12
Advocate - Other,2018,5,7
Advocate - Other,2018,6,9
Advocate - Other,2018,7,5
Advocate - Other,2018,8,9
Advocate - Other,2018,9,14
Advocate - Other,2018,10,8
Advocate - Other,2018,11,11
Advocate - Other,2018,12,14
Advocate - Other,2019,1,20
Advocate - Other,2019,2,16
Advocate - Other,2019,3,8
Advocate - Other,2019,4,13
Advocate - Other,2019,5,11
Advocate - Other,2019,6,5
Advocate - RPIE,2015,12,1
Advocate - RPIE,2016,2,1
Advocate - RPIE,2017,2,1
Advocate - RPIE,2017,4,1
Advocate - RPIE,2018,5,1
Advocate - RPIE,2018,11,1
Advocate - RPIE,2019,1,1
Advocate - RPIE,2019,2,2
Advocate - RPIE,2019,4,1
Advocate-Business Tax,2016,8,1
Advocate-Business Tax,2016,12,1
Advocate-Business Tax,2017,10,1
Advocate-Business Tax,2018,5,1
