,area
0,20163283.8744
1,22606526.9139
2,6269333.41234
3,49418364.0577
4,69385865.5943
5,42659399.8982
6,9155180.26263
7,55587771.835
8,39568339.2748
9,25203458.8689
10,20358592.7502
11,45095032.1013
12,21985773.4995
13,60177575.638
14,57537331.4936
15,39559398.2844
16,42105899.157
17,16802279.5098
18,32025130.9227
19,47739432.5954
20,487599.726799
21,38580480.4348
22,24314441.7637
23,31278858.1025
24,87379704.1564
25,26478229.2634
26,18854849.8011
27,37871693.6822
28,22699295.4596
29,29631004.4378
30,41972104.0712
31,23698630.1254
32,36868798.99
33,39408598.2793
34,42002738.4672
35,47887022.9918
36,49926703.3932
37,43555184.6142
38,89651407.0575
39,21543461.5815
40,55262490.6118
41,69336166.3722
42,39823083.42155
43,38633296.936
44,92357969.30082001
45,68040887.07
46,34447604.6725
47,39823083.42155
48,35968812.9034
49,24503892.12
50,16156054.1726
51,53022514.1123
52,16340742.7954
53,25748509.2714
54,108423743.439
55,92357969.30082001
56,92357969.30082001
57,62824057.5538
58,37640607.3796
59,35155666.6459
60,23159566.0919
61,27550385.8534
62,29933452.4366
63,30963245.188
64,16902152.3658
65,8419027.88454
66,22551940.5373
67,28944106.5181
68,59522354.5398
69,7757661.45487
70,24695278.5688
71,40614090.1894
72,19846918.841
73,7188980.95327
74,22877335.4506
75,31063613.3255
76,11092681.4885
77,38940528.7966
78,19631043.8226
79,38940528.7966
80,77359110.6086
81,22963435.6768
82,38300990.4037
83,43321159.2727
84,6567982.08563
85,38834824.1716
86,48795608.0803
87,11011681.5568
88,30558474.9085
89,15212712.6783
90,24242790.0243
91,9842046.47962
92,61985147.4503
93,19116258.4366
94,41790436.6752
95,10495132.7484
96,50163518.2437
97,54622541.0856
98,54680551.2195
99,6296113.26978
100,30060493.2465
101,20222394.6253
102,23866112.7254
103,72489663.2825
104,71832387.4936
105,11395110.5096
106,49383079.0839
107,79311462.7741
108,84259665.0533
109,10705796.4792
110,697297.022409
111,9075527.40364
112,9794383.24005
113,17794940.7729
114,18118416.8465
115,15042403.038
116,12084432.1157
117,231863.117494
118,9768395.37543
119,72810151.5885
120,14151051.856
121,15538376.2738
122,42904553.7275
123,26280128.5931
124,66342001.4603
125,15903519.5061
126,9193739.33105
127,15580577.9879
128,58162525.353
129,5328635.48537
130,27373778.4839
131,125023075.272
132,7022760.6429
133,40680014.9528
134,1716640.90186
135,46687803.7023
136,2082901.14074
137,10379321.962
138,13554813.42382
139,35889597.3838
140,41094887.0403
141,13554813.42382
142,23159720.6632
143,79294685.4617
144,73742269.4034
145,13554813.42382
146,13554813.42382
147,85392925.3608
148,21648157.7324
149,29429423.4614
150,40081670.758287
151,60091178.9547
152,61879568.3726
153,31099087.1084
154,61922821.7464
155,63974665.2952
156,40081670.758287
157,55879065.1487
158,199913664.291
159,60644835.4564
160,41794660.7681
161,96373991.6197
162,47453785.7906
163,105182712.649
164,53463275.0023
165,81629773.5183
166,206201040.079
167,29555323.0234
168,63767758.63626
169,57842313.9593
170,98226679.797
171,473985727.133
172,63767758.63626
173,43893024.7311
174,1624420.03945
175,111441829.317
176,60119326.147
177,61096539.3863
178,83927815.1145
179,1624420.03945
180,58702923.4668
181,63767758.63626
182,23992395.3816
183,69053803.0316
184,63767758.63626
185,174102872.047
186,48101606.6125
187,46701983.7555
188,62751041.8152
189,59789760.6207
190,169087432.912
191,215835793.513
192,46028382.6284
193,2234113.99487
194,972788.42696
195,28664.7058134
196,40779.8152022
197,27810.1220594
198,37223.5387892
199,35422.1567546
200,91733.7153701
201,18289.0897346
202,21034.8869204
203,18828383.1169
204,103066.25326
205,61793.1751378
206,16700.7379806
207,23294.6381032
208,23030.1758969
209,62713.2534062
210,80339.6472271
211,44203.2255484
212,110438.62317
213,66246.3463652
214,80926.1872511
215,24688.0511035
216,79589.1001039
217,23525.085921
218,79148.8023924
219,59924.9982704
220,31255.8004282
221,89721.8525423
222,49236.8772023
223,21249.0635162
224,18685.3945268
225,21380.2683788
226,25689.4205868
227,51303.0376357
228,126392.973553
229,115104.799339
230,71720.1250888
231,16138.5369623
232,31052.5527962
233,35395.7701438
234,162236.646863
235,35179.27222
236,206705.99517
237,24784.6885389
238,12728335.6232
239,38262.3648074
240,30240.5054524
241,42106.1146917
242,65826.1779787
243,35657.26530419
244,35657.26530419
245,48280.4150043
246,17229.1549665
247,47808.9854242
248,20299.5593662
249,20299.5593662
250,77111.44771
251,37226.8835853
252,21064.3129523
253,52514.7350789
254,67350.3889582
255,11264.4123791
256,41790436.6752
257,11442579.5473
258,4809654.93064
259,2372365.88899
260,958087.21122
261,1561954.68329
